startHub,endHub,road_geometry
sanJacinto,centerville,"LINESTRING (-95.19257100000002 30.509218000000004, -95.19803300000001 30.513507999999995, -95.204414 30.511037000000016, -95.20628 30.522521999999995, -95.217979 30.52523799999999, -95.235021 30.54266300000001, -95.238821 30.56112799999999, -95.297328 30.543036999999988, -95.333552 30.524108000000002, -95.386013 30.523048000000003, -95.456085 30.535493, -95.468914 30.531517, -95.495577 30.546271, -95.502147 30.566349, -95.510521 30.65866500000001, -95.51992 30.676047000000004, -95.55167 30.69323300000001, -95.583556 30.732906000000007, -95.676492 30.794044000000003, -95.716874 30.835551, -95.748693 30.859409999999997, -95.789441 30.90907199999998, -95.877528 30.960284000000023, -95.943193 31.041982000000015, -95.975773 31.123205000000006, -95.996644 31.21005400000001, -95.987848 31.25602100000001, -95.97871 31.257822999999995)"
baytown,channelview,"LINESTRING (-94.97759300000001 29.735551000000005, -94.977936 29.736756000000003, -94.984218 29.743824999999987, -94.990949 29.753585000000008, -95.003088 29.76044999999999, -95.021393 29.778380000000006, -95.044395 29.788268999999985, -95.050017 29.791335999999983, -95.056858 29.79085099999998, -95.06701300000002 29.79509999999998, -95.072052 29.79513800000001, -95.0824 29.791537999999985, -95.094457 29.789423999999993, -95.106624 29.785421000000028, -95.10660900000002 29.783041999999984, -95.10539 29.78137200000001, -95.114654 29.776139999999984)"
centerville,dallas,"LINESTRING (-95.97871 31.257822999999995, -96.021911 31.380308000000017, -96.14892 31.582603999999993, -96.182718 31.73244299999999, -96.309454 31.859575999999986, -96.424504 31.93266699999999, -96.45217700000002 32.061459000000006, -96.439102 32.08969499999998, -96.474109 32.200212000000015, -96.510423 32.269392, -96.598059 32.31179899999998, -96.646595 32.37725299999999, -96.664683 32.561316999999995, -96.747016 32.685615999999996, -96.77902 32.77581900000002, -96.796749 32.775945)"
sanAngelo,sonora,"LINESTRING (-100.440481 31.464924999999997, -100.433681 31.356576, -100.511358 31.172370999999995, -100.51231200000001 31.059469999999987, -100.573732 30.986089000000014, -100.585321 30.879994000000003, -100.621622 30.837495000000008, -100.62165 30.75404699999998, -100.646863 30.67154300000002, -100.63636 30.615254000000014, -100.65198 30.575202999999995, -100.643031 30.566985999999986)"
sanAngelo,abilene,"LINESTRING (-100.440481 31.464924999999997, -100.429196 31.475275, -100.388932 31.47900299999999, -100.369481 31.499719000000002, -100.368484 31.575791, -100.285593 31.738744999999998, -100.292538 31.881457000000005, -100.277107 31.938759, -100.275409 32.016629, -100.20827 32.070572, -100.126983 32.09718400000001, -100.086708 32.18166000000001, -100.04805 32.22053500000001, -99.922729 32.285736000000014, -99.89039100000001 32.338913000000005, -99.782039 32.430638, -99.747948 32.432162000000005, -99.747886 32.44645199999999)"
elPaso,vanHorn,"LINESTRING (-106.488236 31.755057, -106.463518 31.77774800000001, -106.401815 31.782139000000004, -106.325534 31.740192999999998, -106.245405 31.666584, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.87917500000002 31.329219000000002, -105.79947 31.27740399999999, -105.785698 31.235677000000017, -105.709641 31.17795900000001, -105.658359 31.171079000000013, -105.591474 31.196919000000005, -105.531349 31.193002000000014, -105.484449 31.217500000000012, -105.452663 31.198470000000004, -105.052396 31.089121, -104.90131600000001 31.03873599999998, -104.833297 31.036195000000003, -104.831587 31.04297499999998)"
sugarLand,houston,"LINESTRING (-95.634985 29.619828999999996, -95.603028 29.626206000000014, -95.602905 29.623269000000022, -95.60124600000002 29.621198, -95.53553 29.681666000000007, -95.52741 29.691583000000005, -95.4897 29.724728000000013, -95.46785700000001 29.726071, -95.456093 29.729884999999978, -95.440329 29.728742999999994, -95.388036 29.732038999999997, -95.382511 29.737898000000015, -95.381626 29.740675, -95.366923 29.759265, -95.367789 29.759790999999993, -95.36786300000001 29.758731)"
laPorte,texasCity,"LINESTRING (-95.01933 29.665777000000006, -95.029764 29.66528400000001, -95.02987 29.63690399999999, -95.03442 29.623814000000028, -95.022704 29.545573999999974, -94.975731 29.467115999999994, -94.95159 29.395258999999992, -94.916194 29.393238000000007, -94.917544 29.395026000000016)"
odessa,amarillo,"LINESTRING (-102.367677 31.845699999999972, -102.30900300000002 31.87465500000001, -102.25021600000001 32.022586999999994, -102.096321 32.096509, -102.172415 32.329272, -101.926992 32.707264, -101.951296 32.750062000000014, -101.806676 33.007162999999984, -101.853573 34.04508499999999, -101.749942 34.12942099999998, -101.70835900000002 34.23809599999999, -101.847196 34.721329000000004, -101.848739 34.943046999999986, -101.918662 35.02407700000003, -101.908786 35.11801300000002, -101.833821 35.207234)"
texarkana,tyler,"LINESTRING (-94.077288 33.44683500000002, -94.150898 33.334675, -94.15196600000002 33.15402399999998, -94.184077 33.11123000000001, -94.363068 33.00081900000002, -94.366731 32.79954800000002, -94.336173 32.615468000000014, -94.359585 32.486312000000005, -94.342103 32.417533999999996, -94.35437800000001 32.244657, -94.32832 32.112694999999974, -94.231976 31.970839000000005, -94.126172 31.482980000000037, -94.015547 31.347900000000013, -93.994089 31.29268799999998, -93.971774 31.175537999999996, -93.990595 31.134374, -93.978344 31.029104000000004, -94.001072 30.908721, -94.154987 30.853298000000002, -94.314422 30.829802000000008, -94.407134 30.77636799999999, -94.404158 30.757716)"
lubbock,amarillo,"LINESTRING (-101.847022 33.58554399999998, -101.853389 34.04647700000002, -101.749942 34.12942099999998, -101.74938600000002 34.196803000000024, -101.70835900000002 34.23809599999999, -101.776408 34.38346400000002, -101.793432 34.57990400000001, -101.847196 34.721329000000004, -101.848739 34.943046999999986, -101.918662 35.02407700000003, -101.908786 35.11801300000002, -101.841333 35.178276999999994, -101.833821 35.207234)"
portArthur,montBelvieu,"LINESTRING (-93.933259 29.871626999999997, -93.937921 29.868337999999994, -93.949561 29.876584000000005, -93.96313 29.866490999999986, -93.988365 29.883726999999997, -94.040047 29.888922999999995, -94.085063 29.85944899999999, -94.240333 29.826175000000006, -94.440329 29.827143999999993, -94.680179 29.840749000000006, -94.75642000000002 29.838750000000008, -94.803409 29.830432999999996, -94.820686 29.865682000000007, -94.841961 29.868033000000022, -94.890783 29.847938000000003)"
sanJacinto,houston,"LINESTRING (-95.19257100000002 30.509218000000004, -95.189517 30.494349000000007, -95.183374 30.490216999999998, -95.194684 30.48315999999998, -95.185225 30.464375999999984, -95.172211 30.444983000000004, -95.151493 30.428629, -95.137882 30.422733999999974, -95.116388 30.42535600000002, -95.090187 30.35306500000003, -95.11224700000001 30.30355800000001, -95.160668 30.240786000000007, -95.226004 30.139266999999993, -95.258772 30.027044999999998, -95.312401 29.901154999999978, -95.333031 29.864986999999992, -95.340807 29.771426999999985, -95.365633 29.769328999999992, -95.372114 29.761940000000006, -95.36786300000001 29.758731)"
killeen,austin,"LINESTRING (-97.727792 31.117227999999997, -97.742943 31.120759999999994, -97.765493 31.061619000000004, -97.752258 31.00891299999999, -97.786226 30.955452, -97.80184 30.885198, -97.757944 30.77183200000001, -97.66804 30.72171100000003, -97.653442 30.700659000000016, -97.69194100000001 30.630837, -97.691971 30.533728999999997, -97.666321 30.45461, -97.671875 30.39134999999999, -97.734343 30.267745000000016, -97.743783 30.270907999999977)"
laredo,sanAntonio,"LINESTRING (-99.507451 27.505677000000006, -99.485729 27.645511999999986, -99.421901 27.79038099999998, -99.183178 28.675782000000012, -99.139587 28.746562999999977, -99.106728 28.859889000000024, -99.11598 28.894834000000003, -99.049757 29.027820999999985, -98.904475 29.121856999999984, -98.775448 29.24064900000001, -98.529658 29.352792000000004, -98.495383 29.424529999999994)"
collegeStation,killeen,"LINESTRING (-96.34554 30.61834300000001, -96.381754 30.59122899999999, -96.401806 30.60021199999997, -96.467878 30.649959000000017, -96.534391 30.638646999999988, -96.542574 30.63412799999999, -96.552486 30.613913999999998, -96.615571 30.59437700000001, -96.65965600000001 30.570470000000014, -96.69410500000001 30.537693000000015, -96.717863 30.551122999999997, -96.817349 30.654616000000004, -96.82311300000002 30.67248100000001, -96.852274 30.714184999999993, -96.872483 30.707503000000003, -96.890756 30.724017000000018, -96.90848 30.75523099999999, -96.919788 30.80289600000002, -96.959174 30.845369000000012, -96.990307 30.856906999999996, -97.023251 30.848270999999997, -97.075588 30.848911999999995, -97.106005 30.856754000000002, -97.126076 30.873807999999993, -97.14557600000002 30.879979000000006, -97.185849 30.912285999999998, -97.22068 30.927092000000005, -97.251945 30.950215999999998, -97.292953 31.00549099999999, -97.31376400000002 31.025246000000003, -97.416377 31.041658, -97.441437 31.049045999999983, -97.446777 31.057177000000017, -97.468551 31.046425000000003, -97.511458 31.05572, -97.554615 31.05556200000001, -97.61703600000001 31.080017999999995, -97.68886600000002 31.095563999999996, -97.727792 31.117227999999997)"
beaumont,tyler,"LINESTRING (-94.101849 30.086125999999997, -94.100429 30.095264000000004, -94.13479 30.09698100000002, -94.138639 30.110739, -94.177325 30.14371999999999, -94.193373 30.22258, -94.25776200000001 30.325476999999992, -94.29177 30.350044999999987, -94.312507 30.370215999999996, -94.316285 30.38195200000002, -94.383743 30.44509699999998, -94.3993 30.50512000000001, -94.402135 30.607404999999993, -94.408899 30.616225999999997, -94.386634 30.668920999999983, -94.398247 30.696659999999998, -94.427947 30.730791999999994, -94.430842 30.742408000000015, -94.414943 30.768789999999992, -94.404315 30.764887999999996, -94.404158 30.757716)"
amarillo,midland,"LINESTRING (-101.833821 35.207234, -101.909065 35.11805999999997, -101.918975 35.024045, -101.849058 34.942867000000014, -101.84751 34.721275, -101.708676 34.23960700000001, -101.750388 34.12930300000001, -101.853809 34.045395000000006, -101.806987 33.006524000000006, -101.95123100000002 32.750225999999984, -101.926992 32.707264, -102.172747 32.32748800000002, -102.008892 31.832329999999995)"
theWoodlands,sugarLand,"LINESTRING (-95.504517 30.17364699999998, -95.50962100000001 30.164334999999998, -95.50472 30.143925, -95.506821 30.09493299999997, -95.555645 30.076319000000012, -95.582004 30.05196600000002, -95.613814 30.050076000000004, -95.562799 29.972387000000005, -95.543247 29.956375000000005, -95.547234 29.951811999999997, -95.544624 29.930286000000002, -95.556134 29.921194000000018, -95.549045 29.879175999999998, -95.563958 29.867120999999997, -95.55909700000001 29.660915000000006, -95.601495 29.62223800000002, -95.60285100000002 29.626466999999987, -95.634985 29.619828999999996)"
pasadena,leagueCity,"LINESTRING (-95.209285 29.69106700000001, -95.209345 29.69282100000001, -95.2114 29.692655000000027, -95.20911700000002 29.687969999999986, -95.208058 29.67544000000001, -95.207741 29.641842, -95.208619 29.639067000000015, -95.211097 29.637032, -95.101861 29.52029400000002, -95.10034 29.513251999999998, -95.094971 29.507551999999986)"
sonora,abilene,"LINESTRING (-100.643031 30.566985999999986, -100.621811 30.836557999999993, -100.585321 30.879994000000003, -100.574218 30.984938000000003, -100.51231200000001 31.059469999999987, -100.511358 31.172370999999995, -100.442753 31.319553000000013, -100.433233 31.390602, -100.37374 31.386609000000007, -100.386225 31.47752199999998, -100.368806 31.57463000000001, -100.285489 31.739188999999996, -100.276567 32.01478000000001, -100.20827 32.070572, -100.126983 32.09718400000001, -100.04805 32.22053500000001, -99.922729 32.285736000000014, -99.89039100000001 32.338913000000005, -99.747886 32.44645199999999)"
centerville,texarkana,"LINESTRING (-95.97871 31.257822999999995, -96.020977 31.378471999999995, -96.075187 31.452064000000004, -95.846569 31.586297999999992, -95.806418 31.64326700000001, -95.76365 31.654583999999993, -95.654268 31.745800000000006, -95.65600800000001 31.771443000000016, -95.624117 31.779998, -95.547005 31.898280999999997, -95.47942 32.139770999999996, -95.336252 32.30581699999999, -95.266838 32.31451299999998, -95.269025 32.396207, -95.187046 32.451291999999995, -95.151258 32.5568, -94.944948 32.711703000000014, -94.870447 32.81169500000001, -94.55405500000002 32.89375999999999, -94.183398 33.111077999999985, -94.151162 33.15614, -94.150273 33.33597100000001, -94.077288 33.44683500000002)"
fortWorth,abilene,"LINESTRING (-97.332623 32.75299599999999, -97.364085 32.733085, -97.481375 32.73832899999999, -97.52502000000001 32.72071400000001, -97.570562 32.72144200000002, -97.69948 32.75524199999998, -97.798641 32.727293, -97.88737 32.72586600000001, -98.000189 32.687129999999996, -98.075739 32.62854199999999, -98.170191 32.57349899999999, -98.228634 32.56876900000002, -98.373081 32.513422000000006, -98.533033 32.497975999999994, -98.622106 32.47574299999999, -98.643207 32.45892800000001, -98.834261 32.375688000000004, -99.144677 32.37994300000001, -99.214067 32.37034800000001, -99.68832 32.447039, -99.747886 32.44645199999999)"
wichitaFalls,dallas,"LINESTRING (-98.501791 33.90045599999999, -98.478704 33.884613000000016, -98.43365 33.885233, -98.343873 33.867798999999984, -98.222845 33.819966999999984, -98.21526200000001 33.806922999999976, -98.13051600000001 33.766208, -98.087911 33.696259000000005, -98.040236 33.649046999999996, -97.904732 33.58316899999998, -97.829615 33.532774, -97.774596 33.45029400000001, -97.70997 33.37744799999999, -97.703401 33.35418000000001, -97.68014 33.34321800000001, -97.586769 33.216680999999994, -97.50023000000002 33.14428100000001, -97.471777 33.101881, -97.475778 33.04803400000001, -97.438594 33.036836000000015, -97.325547 33.03499600000001, -97.224189 33.01352400000001, -97.21585800000001 33.000157, -97.171787 32.986167000000016, -97.15468800000001 32.962860999999975, -97.102851 32.94101600000001, -97.0871 32.92424599999998, -97.032746 32.929632, -96.9509 32.88360299999999, -96.903114 32.83609399999999, -96.821418 32.79989400000002, -96.796749 32.775945)"
austin,sanAntonio,"LINESTRING (-97.743783 30.270907999999977, -97.734686 30.266826999999985, -97.735327 30.243862000000018, -97.78803700000002 30.163954000000018, -97.870116 29.996549000000023, -97.879418 29.949378999999983, -97.905124 29.900946999999988, -98.021249 29.795620999999997, -98.095939 29.698420000000002, -98.1436 29.682108000000014, -98.387028 29.535482999999996, -98.414543 29.454798000000007, -98.444062 29.439668999999977, -98.486301 29.44017500000001, -98.495383 29.424529999999994)"
brownsville,corpusChristi,"LINESTRING (-97.498138 25.902401000000015, -97.490947 25.927501000000007, -97.534191 26.03089700000001, -97.60253 26.1082, -97.71460200000001 26.18239700000002, -97.722232 26.238383000000013, -97.783767 26.33461799999998, -97.766479 26.604908000000012, -97.79514300000001 26.980133000000006, -97.788699 27.224476000000006, -97.85835200000001 27.44878700000002, -97.839583 27.531813, -97.782595 27.592755999999994, -97.72166500000002 27.57587799999998, -97.453901 27.586528999999995, -97.454692 27.688672000000015, -97.41676 27.768607, -97.403232 27.7634)"
leagueCity,brazoria,"LINESTRING (-95.094971 29.507551999999986, -95.128577 29.499841000000004, -95.157473 29.489078000000017, -95.177498 29.494626999999998, -95.188461 29.509218000000022, -95.202127 29.499446999999993, -95.218368 29.482954000000007, -95.22205 29.472070000000016, -95.238855 29.447553, -95.227576 29.431139999999992, -95.228684 29.41833399999999, -95.233969 29.407562000000013, -95.247428 29.39856600000002, -95.291553 29.324467, -95.343273 29.268460999999988, -95.394539 29.203426000000007, -95.401383 29.205090000000016, -95.430868 29.204186000000004, -95.442432 29.197314000000006, -95.461733 29.197293999999996, -95.471238 29.18991100000001, -95.484721 29.190482, -95.49952000000002 29.181846000000014)"
chocolateBay,corpusChristi,"LINESTRING (-96.621653 28.584268999999992, -96.647547 28.610395000000008, -96.885115 28.46425599999999, -96.952369 28.281675, -96.98502400000001 28.231350000000006, -97.004368 28.143605999999973, -97.037008 28.090235000000007, -97.041183 28.061767000000014, -97.063099 28.063703999999994, -97.158536 27.92481600000002, -97.265921 27.927323000000005, -97.297574 27.913305000000026, -97.318275 27.881781000000004, -97.38477900000001 27.832895000000022, -97.403232 27.7634)"
waco,austin,"LINESTRING (-97.147339 31.54909000000001, -97.132817 31.527369999999994, -97.205309 31.402870999999998, -97.223755 31.336120000000022, -97.301141 31.212047999999985, -97.333671 31.129760999999995, -97.35179 31.121685000000014, -97.364852 31.09770599999999, -97.407361 31.08427700000001, -97.466648 31.046601, -97.499902 30.990391999999993, -97.535993 30.95544800000001, -97.546075 30.919341999999986, -97.577703 30.881872000000012, -97.611484 30.814586000000002, -97.659716 30.682270999999993, -97.69181800000001 30.631966, -97.691971 30.533728999999997, -97.666321 30.45461, -97.673867 30.382761000000006, -97.734343 30.267745000000016, -97.743783 30.270907999999977)"
corpusChristi,sanAntonio,"LINESTRING (-97.403232 27.7634, -97.410584 27.798009000000018, -97.49074700000001 27.806457000000016, -97.621281 27.86337099999999, -97.674383 27.977871999999998, -97.807565 28.08789999999998, -97.922431 28.25644099999999, -98.026909 28.338012000000003, -98.118709 28.470243000000004, -98.18609 28.52586100000001, -98.300182 28.763987000000007, -98.434154 28.911063000000006, -98.427082 29.174969000000008, -98.394903 29.298663, -98.495383 29.424529999999994)"
sanJacinto,tyler,"LINESTRING (-95.19257100000002 30.509218000000004, -95.189517 30.494349000000007, -95.183374 30.490216999999998, -95.180779 30.493906000000006, -95.164371 30.491246000000004, -95.149122 30.494919000000003, -95.142019 30.500680000000017, -95.139041 30.49179300000001, -95.095466 30.489434, -95.034501 30.490441999999998, -95.022609 30.498678999999985, -94.99665900000001 30.497746999999997, -94.945689 30.57765300000001, -94.942231 30.606712999999996, -94.950833 30.67804999999998, -94.947972 30.688633000000003, -94.932685 30.701462999999993, -94.932996 30.711000000000002, -94.878863 30.710773, -94.848504 30.702623000000013, -94.754792 30.698309000000016, -94.73272 30.712116999999985, -94.704547 30.719197000000005, -94.655566 30.718127999999993, -94.63884800000001 30.72540400000001, -94.621331 30.745693000000013, -94.610101 30.75098500000001, -94.543118 30.752236999999997, -94.429511 30.77524600000002, -94.414908 30.775357999999997, -94.414943 30.768789999999992, -94.404315 30.764887999999996, -94.404158 30.757716)"
amarillo,wichitaFalls,"LINESTRING (-101.833821 35.207234, -101.581231 35.178528, -101.40309 35.127276000000016, -101.220923 35.041527000000016, -101.093949 35.030179000000004, -100.866437 34.92805400000002, -100.653954 34.86295199999999, -100.48860500000002 34.68219400000002, -100.464673 34.599627999999996, -100.435456 34.578966, -100.43770000000002 34.540445999999996, -100.256714 34.443912, -99.778406 34.293665999999995, -99.471532 34.249117000000005, -99.310241 34.161276, -99.140256 34.134013999999986, -98.967338 34.051276, -98.906111 34.043046000000004, -98.78730600000002 33.97404199999998, -98.525786 33.94451900000001, -98.501791 33.90045599999999)"
montBelvieu,laPorte,"LINESTRING (-94.890783 29.847938000000003, -94.895436 29.847546999999995, -94.89492 29.83619399999999, -94.904625 29.80062700000002, -94.91052700000002 29.79027200000003, -94.914898 29.772183000000005, -94.92439900000001 29.76139900000001, -94.930446 29.757582000000006, -94.963219 29.750538000000002, -94.981026 29.74984300000001, -94.98558 29.74758500000001, -94.994482 29.735076999999993, -94.99146 29.725550000000013, -94.99306800000001 29.72154300000001, -94.998983 29.715307000000003, -95.013034 29.706823000000018, -95.026718 29.695766000000006, -95.029786 29.691920999999994, -95.029764 29.66528400000001, -95.01933 29.665777000000006)"
orange,portArthur,"LINESTRING (-93.903742 30.122599999999977, -93.90785 30.120615000000004, -93.907918 30.116495000000004, -93.907351 30.105180000000008, -93.903551 30.105050999999996, -93.905346 30.09852900000001, -93.902787 30.051645999999995, -93.888805 30.03957899999997, -93.869527 30.039482000000014, -93.84597 30.033822999999998, -93.845768 30.021386000000007, -93.86728100000002 29.999523999999997, -93.876798 29.958258, -93.939231 29.887655999999993, -93.927583 29.879392999999983, -93.933259 29.871626999999997)"
odessa,midland,"LINESTRING (-102.367677 31.845699999999972, -102.35519500000001 31.827763000000015, -102.343584 31.83098699999999, -102.306591 31.86355500000001, -102.26455700000001 31.886003999999996, -102.119642 31.96085000000001, -102.073768 31.971726000000032, -102.033653 31.84458500000001, -102.020271 31.847556000000022, -102.01488400000001 31.830918000000008, -102.008892 31.832329999999995)"
houston,sanAntonio,"LINESTRING (-95.36786300000001 29.758731, -95.373875 29.77879600000001, -95.462238 29.78446899999999, -95.981911 29.782753000000007, -96.284821 29.750775000000004, -96.54306 29.691986999999994, -97.141398 29.69669399999999, -97.486379 29.649613999999996, -97.671894 29.65183199999999, -97.803773 29.615535000000005, -97.970348 29.598996999999994, -98.044891 29.549649, -98.25680500000001 29.47676399999999, -98.436908 29.42013900000001, -98.495383 29.424529999999994)"
baytown,texasCity,"LINESTRING (-94.97759300000001 29.735551000000005, -94.979524 29.720211000000003, -94.992093 29.723890000000022, -95.000666 29.714121000000013, -95.013978 29.70607800000001, -95.030215 29.690737000000016, -95.02987 29.63690399999999, -95.034413 29.622824000000012, -95.024779 29.555054, -95.022032 29.544099999999986, -94.970438 29.455819000000034, -94.958775 29.411382000000014, -94.952321 29.40146600000003, -94.95159 29.395258999999992, -94.916194 29.393238000000007, -94.917544 29.395026000000016)"
channelview,houston,"LINESTRING (-95.114654 29.776139999999984, -95.114666 29.777070999999996, -95.12435 29.77697799999999, -95.12438 29.778489999999994, -95.154145 29.771227999999994, -95.18226100000001 29.77061300000001, -95.200145 29.771671999999995, -95.21879 29.770431000000006, -95.23615500000001 29.773856000000016, -95.252142 29.773839000000002, -95.278971 29.778109000000008, -95.290356 29.778004000000013, -95.301405 29.774423000000006, -95.322711 29.774206000000028, -95.336606 29.769155000000012, -95.350955 29.770164999999995, -95.35967200000002 29.767238000000006, -95.36539400000001 29.769401999999996, -95.367766 29.76496900000001, -95.372114 29.761940000000006, -95.36786300000001 29.758731)"
lubbock,midland,"LINESTRING (-101.847022 33.58554399999998, -101.844207 33.456596999999995, -101.806603 33.36956099999997, -101.806987 33.006524000000006, -101.95123100000002 32.750225999999984, -101.926992 32.707264, -101.959202 32.69058599999999, -102.035216 32.524142000000005, -102.17271 32.327963999999994, -102.033653 31.84458500000001, -102.008892 31.832329999999995)"
lubbock,odessa,"LINESTRING (-101.847022 33.58554399999998, -101.844207 33.456596999999995, -101.806603 33.36956099999997, -101.807224 33.005652, -101.95123100000002 32.750225999999984, -101.926992 32.707264, -101.959202 32.69058599999999, -102.035374 32.523873, -102.172415 32.329272, -102.09703 32.096581, -102.166629 32.08028400000003, -102.25021600000001 32.022586999999994, -102.252504 31.97086, -102.309563 31.899200999999998, -102.351736 31.889626999999997, -102.344708 31.856152000000016, -102.367677 31.845699999999972)"
killeen,sanAntonio,"LINESTRING (-97.727792 31.117227999999997, -97.742943 31.120759999999994, -97.765493 31.061619000000004, -97.752258 31.00891299999999, -97.80184 30.885198, -97.757944 30.77183200000001, -97.653442 30.700659000000016, -97.69194100000001 30.630837, -97.671821 30.391632000000016, -97.735438 30.243610999999987, -97.92129 29.883394000000003, -98.095939 29.698420000000002, -98.387028 29.535482999999996, -98.414543 29.454798000000007, -98.495383 29.424529999999994)"
fortWorth,waco,"LINESTRING (-97.332623 32.75299599999999, -97.319852 32.750741000000005, -97.318698 32.55124600000002, -97.301309 32.51113299999999, -97.208734 32.389026999999984, -97.093481 32.05563199999999, -97.09593600000001 32.00421, -97.119466 31.967472999999984, -97.081434 31.877400999999985, -97.102822 31.792002999999994, -97.095702 31.62856000000001, -97.11042 31.584386999999975, -97.147339 31.54909000000001)"
