startHub,endHub,road_geometry
deerPark,houston,"LINESTRING (-95.123815 29.70522800000001, -95.123964 29.711716000000013, -95.19093 29.713045, -95.22215 29.710016999999986, -95.228816 29.70750499999999, -95.244186 29.70606399999998, -95.267123 29.709380999999997, -95.283183 29.699239, -95.288644 29.698130000000013, -95.358333 29.742686999999997, -95.373008 29.750573000000003, -95.374511 29.752880000000008, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.367184 29.76053799999999, -95.36786300000001 29.758731)"
texasCity,freeport,"LINESTRING (-94.917544 29.395026000000016, -94.951588 29.395390999999986, -94.94639700000002 29.358405000000005, -95.00929 29.357180999999997, -95.016174 29.34837900000001, -95.030534 29.35269700000001, -95.061128 29.321274000000003, -95.105921 29.30942399999999, -95.252425 29.17470999999999, -95.259686 29.142078000000005, -95.242562 29.128163000000008, -95.341816 29.048307000000005, -95.327637 29.028907999999994, -95.328151 28.997272999999996, -95.359698 28.954035999999974)"
collegeStation,austin,"LINESTRING (-96.34554 30.61834300000001, -96.382324 30.591351, -96.401806 30.60021199999997, -96.465917 30.649054000000014, -96.474004 30.649903000000005, -96.535996 30.638122999999993, -96.553401 30.61334099999999, -96.61461 30.59482100000002, -96.65844 30.571230999999994, -96.755706 30.487005000000007, -96.795902 30.44340200000002, -96.80730400000002 30.419421999999994, -96.826337 30.397039999999993, -96.867652 30.374678, -96.90902800000002 30.333960999999977, -96.947431 30.30915999999997, -96.961753 30.29000600000001, -96.963256 30.273726000000018, -96.99323 30.241843000000006, -97.014089 30.234001999999993, -97.035578 30.230195999999996, -97.066643 30.232672000000022, -97.10123 30.219663, -97.146088 30.214329000000017, -97.221377 30.246649999999992, -97.246098 30.285009999999993, -97.257937 30.29405000000002, -97.286477 30.29832899999999, -97.318707 30.321273000000012, -97.373217 30.338299, -97.390116 30.352121999999994, -97.559248 30.34876500000001, -97.62047 30.331314000000003, -97.705512 30.322555999999988, -97.734343 30.267745000000016, -97.743783 30.270907999999977)"
sanJacinto,laPorte,"LINESTRING (-95.19257100000002 30.509218000000004, -95.185225 30.464375999999984, -95.151493 30.428629, -95.116388 30.42535600000002, -95.090187 30.35306500000003, -95.11224700000001 30.30355800000001, -95.225592 30.140142999999995, -95.29517 29.941620999999998, -95.201195 29.927316000000012, -95.202692 29.88937700000002, -95.146302 29.759683000000006, -95.153795 29.711621000000008, -95.114827 29.710780000000003, -95.0325 29.687735, -95.029764 29.66528400000001, -95.01933 29.665777000000006)"
chocolateBay,sanAntonio,"LINESTRING (-96.621653 28.584268999999992, -96.645065 28.610177999999983, -96.712583 28.616982, -97.000441 28.799220999999996, -97.013588 28.84608500000001, -97.137462 28.96346799999999, -97.177126 29.035351999999993, -97.222477 29.068113000000032, -97.290037 29.093815000000006, -97.294993 29.084180999999983, -97.332668 29.090770000000006, -97.354805 29.083253999999997, -97.44555200000002 29.152215000000005, -97.465925 29.194237, -97.509393 29.202649, -97.568003 29.25251800000002, -97.722354 29.27700499999999, -97.960549 29.226678000000007, -98.029569 29.247535000000024, -98.074192 29.290868000000007, -98.112963 29.354219000000004, -98.204013 29.358063999999995, -98.404169 29.398259000000014, -98.405545 29.424018999999998, -98.495383 29.424529999999994)"
theWoodlands,collegeStation,"LINESTRING (-95.504517 30.17364699999998, -95.487518 30.184807999999983, -95.493223 30.194393, -95.544431 30.215759000000016, -95.56806200000001 30.216062999999995, -95.568192 30.22093500000001, -95.681664 30.223118999999976, -95.697216 30.229288, -95.725857 30.22249799999997, -95.736879 30.231255000000004, -95.743654 30.247456999999997, -95.780197 30.251303000000007, -95.79709 30.274195, -95.819936 30.292391000000013, -95.853413 30.29937300000002, -95.880605 30.298173000000006, -95.897429 30.307539999999985, -95.92552700000002 30.30799399999999, -95.949082 30.326042000000008, -95.95251600000002 30.34124899999999, -95.964811 30.355223000000006, -95.995289 30.353144000000015, -96.0246 30.369485, -96.066594 30.37624400000002, -96.074529 30.401995000000007, -96.103862 30.41661499999998, -96.186816 30.496739999999996, -96.278766 30.576187000000004, -96.290243 30.592333999999997, -96.334873 30.627903999999987, -96.34554 30.61834300000001)"
brazoria,pearland,"LINESTRING (-95.49952000000002 29.181846000000014, -95.484721 29.190482, -95.471623 29.18981800000001, -95.461733 29.197293999999996, -95.449189 29.197323000000008, -95.452024 29.20006799999999, -95.452804 29.25472100000003, -95.428493 29.293957000000002, -95.424863 29.305469, -95.426765 29.44440600000002, -95.421986 29.45572800000001, -95.389827 29.498117, -95.386512 29.518565999999975, -95.387004 29.55566299999999, -95.369427 29.556260999999992, -95.362299 29.55885200000001, -95.299547 29.559687999999994, -95.286387 29.563976000000004)"
abilene,wichitaFalls,"LINESTRING (-99.747886 32.44645199999999, -99.784637 32.452901000000004, -99.75095 32.518199, -99.81150000000001 32.59215499999998, -99.896266 32.73654499999998, -99.896653 32.775960000000005, -99.868977 32.812822999999995, -99.868303 32.86553200000002, -99.81415 32.941430000000004, -99.769921 33.03671199999998, -99.750094 33.11723600000001, -99.72885 33.14298600000003, -99.72576 33.18350900000001, -99.679642 33.29899699999999, -99.678679 33.32381200000002, -99.619262 33.447316, -99.522159 33.464274999999994, -99.28995 33.561068000000006, -99.280158 33.578139000000014, -99.243924 33.58413200000002, -99.24013200000002 33.61861900000002, -99.146472 33.66821899999999, -99.081083 33.68592200000002, -98.981173 33.691824999999966, -98.916394 33.732884999999996, -98.71659 33.80819399999998, -98.646802 33.854835000000016, -98.542934 33.87998600000001, -98.501791 33.90045599999999)"
fortWorth,killeen,"LINESTRING (-97.332623 32.75299599999999, -97.318698 32.55124600000002, -97.208734 32.389026999999984, -97.093524 32.05583400000002, -97.119466 31.967472999999984, -97.081434 31.877400999999985, -97.102822 31.792002999999994, -97.095941 31.627127999999995, -97.226595 31.330232000000013, -97.362613 31.099250000000012, -97.468794 31.046421999999982, -97.554945 31.055650999999987, -97.727792 31.117227999999997)"
corpusChristi,mcallen,"LINESTRING (-97.403232 27.7634, -97.44027 27.786034999999977, -97.655409 27.785980999999992, -97.730643 27.702123000000025, -97.793268 27.564337000000002, -97.841182 27.515888000000004, -98.099098 27.550821000000006, -98.150754 27.156777000000016, -98.136051 26.870740000000005, -98.099102 26.771181000000016, -98.109959 26.642253000000018, -98.150809 26.277492000000017, -98.182777 26.208330000000014, -98.230081 26.204024999999994)"
texasCity,chocolateBay,"LINESTRING (-94.917544 29.395026000000016, -95.03114300000001 29.405654999999996, -95.046746 29.392684000000006, -95.105551 29.390626999999995, -95.112913 29.38084399999999, -95.227829 29.42354299999999, -95.291279 29.324830000000002, -95.423175 29.164939000000032, -95.558776 29.142439000000014, -95.647997 29.144588000000006, -95.691561 29.097704000000007, -95.83906 29.063808999999996, -95.939992 28.983012000000016, -96.013727 28.984545000000004, -96.147296 28.896981000000004, -96.208718 28.872031999999994, -96.252222 28.868349000000002, -96.366402 28.72685900000001, -96.392446 28.73968899999999, -96.44014 28.73133800000001, -96.580085 28.66381000000002, -96.621552 28.632467000000005, -96.631456 28.606553999999992, -96.621653 28.584268999999992)"
fortWorth,dallas,"LINESTRING (-97.332623 32.75299599999999, -97.321564 32.75665900000001, -97.30856 32.74725200000001, -97.279451 32.75030300000002, -97.262865 32.75769300000002, -97.238811 32.760539000000016, -96.99160800000001 32.75839800000001, -96.886959 32.767683000000005, -96.860595 32.766904, -96.846147 32.763781, -96.813371 32.770954999999994, -96.803682 32.768513999999996, -96.796262 32.77222299999998, -96.798074 32.772283000000016, -96.796749 32.775945)"
amarillo,abilene,"LINESTRING (-101.833821 35.207234, -101.841308 35.178548000000006, -101.909065 35.11805999999997, -101.918975 35.024045, -101.849058 34.942867000000014, -101.84751 34.721275, -101.793757 34.57995599999999, -101.776662 34.383216000000004, -101.708721 34.241466000000024, -101.749952 34.19607700000001, -101.750388 34.12930300000001, -101.841495 34.071482, -101.853809 34.045395000000006, -101.843048 33.61754100000003, -101.788715 33.59733700000002, -101.793502 33.53569499999999, -101.672112 33.46095399999999, -101.661833 33.43097599999997, -101.556659 33.359562999999994, -101.436311 33.219423000000006, -101.37601600000002 33.19809, -101.162889 33.00286199999999, -101.10421 32.978001, -101.051878 32.88079700000002, -100.986926 32.83278899999996, -100.921141 32.74137000000001, -100.779606 32.654880000000006, -100.610679 32.47513299999999, -100.508195 32.4457, -100.412266 32.447499, -100.307651 32.493767, -100.126324 32.495773999999976, -99.747886 32.44645199999999)"
odessa,elPaso,"LINESTRING (-102.367677 31.845699999999972, -102.87694200000001 31.579295999999992, -103.327759 31.475238000000008, -103.398096 31.419714000000006, -103.49842 31.39589000000001, -103.556289 31.406481000000017, -103.741816 31.339833, -103.854305 31.269380999999996, -104.070459 31.083911, -104.159029 31.060793999999998, -104.413745 31.073787000000006, -104.84556 31.035797000000006, -104.902165 31.039231000000004, -105.48418800000002 31.217688, -105.531173 31.19327000000001, -105.709485 31.178146000000005, -105.92402200000001 31.381267000000005, -106.12071600000002 31.50691, -106.325453 31.740342000000002, -106.401492 31.78229900000002, -106.463788 31.777933999999995, -106.488236 31.755057)"
sanJacinto,collegeStation,"LINESTRING (-95.19257100000002 30.509218000000004, -95.19803300000001 30.513507999999995, -95.204414 30.511037000000016, -95.20628 30.522521999999995, -95.217979 30.52523799999999, -95.235021 30.54266300000001, -95.238821 30.56112799999999, -95.29711000000002 30.543121999999986, -95.33283 30.52417000000001, -95.386013 30.523048000000003, -95.456085 30.535493, -95.468914 30.531517, -95.483592 30.537605999999997, -95.495577 30.546271, -95.501704 30.56416400000001, -95.511189 30.660941, -95.520808 30.676864, -95.552371 30.693864000000023, -95.569034 30.71830599999999, -95.586347 30.717269, -95.617073 30.700773999999992, -95.703349 30.68452299999999, -95.74992 30.684149000000026, -95.833735 30.658186999999995, -95.881276 30.62794, -95.886851 30.613799, -95.939235 30.583589999999976, -95.960174 30.589342, -96.031312 30.595614000000005, -96.088366 30.59470100000002, -96.10787 30.602072999999997, -96.136835 30.60505100000001, -96.172492 30.603530999999997, -96.212161 30.629924000000006, -96.242148 30.631816999999995, -96.262788 30.649543999999985, -96.286846 30.658526999999978, -96.34554 30.61834300000001)"
sanJacinto,deerPark,"LINESTRING (-95.19257100000002 30.509218000000004, -95.185225 30.464375999999984, -95.151493 30.428629, -95.116388 30.42535600000002, -95.090187 30.35306500000003, -95.11224700000001 30.30355800000001, -95.225592 30.140142999999995, -95.295219 29.941918, -95.201404 29.927612000000018, -95.202692 29.88937700000002, -95.146302 29.759683000000006, -95.153795 29.711621000000008, -95.123815 29.70522800000001)"
pasadena,houston,"LINESTRING (-95.209285 29.69106700000001, -95.20955500000001 29.711507000000015, -95.217043 29.711093000000005, -95.22419100000002 29.709517999999992, -95.228816 29.70750499999999, -95.244866 29.706032000000008, -95.267123 29.709380999999997, -95.27083 29.70773099999999, -95.283183 29.699239, -95.286668 29.698190999999994, -95.289371 29.698347000000002, -95.315831 29.715586, -95.326581 29.721607999999986, -95.340171 29.73029599999998, -95.345823 29.734689, -95.358333 29.742686999999997, -95.365274 29.745929000000004, -95.373008 29.750573000000003, -95.374511 29.752880000000008, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.37062 29.763457000000013, -95.367184 29.76053799999999, -95.36838300000001 29.759044000000006, -95.36786300000001 29.758731)"
chocolateBay,freeport,"LINESTRING (-96.621653 28.584268999999992, -96.622571 28.595344, -96.631456 28.606553999999992, -96.621827 28.613984999999996, -96.626496 28.620809000000012, -96.621552 28.632467000000005, -96.575528 28.666472000000006, -96.44014 28.73133800000001, -96.392446 28.73968899999999, -96.366402 28.72685900000001, -96.345469 28.762386999999997, -96.284981 28.818776000000003, -96.252222 28.868349000000002, -96.209244 28.870884999999994, -96.19202 28.882741999999986, -96.147296 28.896981000000004, -96.013172 28.984432, -95.939911 28.983047999999997, -95.90455 29.004255000000008, -95.838205 29.06393400000002, -95.772458 29.07268, -95.758912 29.08175100000002, -95.733007 29.08452500000001, -95.691344 29.097477, -95.680214 29.10556900000002, -95.670658 29.124362000000005, -95.653231 29.138068, -95.62835 29.092910999999994, -95.577217 29.060684, -95.566713 29.033438999999998, -95.517803 28.98641000000002, -95.488132 28.984421000000005, -95.44714300000001 28.969748999999997, -95.41057 28.966812999999984, -95.38749 28.94886900000003, -95.363923 28.942394999999998, -95.359698 28.954035999999974)"
sanAngelo,odessa,"LINESTRING (-100.440481 31.464924999999997, -100.477763 31.498084000000006, -100.501274 31.54871199999999, -100.624227 31.593465000000013, -100.713458 31.667796999999986, -100.761585 31.684875000000016, -100.842258 31.76414400000001, -100.923647 31.796191999999994, -100.966659 31.83519400000001, -101.01781400000002 31.840836000000003, -101.036768 31.855592, -101.108077 31.857353999999997, -101.150802 31.84878500000002, -101.220018 31.80491299999998, -101.267785 31.801197000000027, -101.306039 31.807079999999985, -101.376729 31.847607999999997, -101.473314 31.865421, -101.62028400000001 31.863908999999996, -102.039231 31.982914000000005, -102.120872 31.96048300000001, -102.304272 31.86526200000001, -102.343791 31.831106999999992, -102.355714 31.828831, -102.367677 31.845699999999972)"
pasadena,channelview,"LINESTRING (-95.209285 29.69106700000001, -95.209548 29.711119000000007, -95.190455 29.712864, -95.153066 29.711614999999995, -95.151918 29.716019, -95.147824 29.721760999999994, -95.145597 29.740640999999997, -95.146268 29.760657000000002, -95.147929 29.764893999999995, -95.151772 29.770793999999995, -95.124555 29.777736999999995, -95.124506 29.776973000000016, -95.114583 29.777060000000002, -95.113913 29.776148000000017, -95.114654 29.776139999999984)"
elPaso,midland,"LINESTRING (-106.488236 31.755057, -106.463518 31.77774800000001, -106.401815 31.782139000000004, -106.325534 31.740192999999998, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.709641 31.17795900000001, -105.531349 31.193002000000014, -105.484449 31.217500000000012, -104.901588 31.038810000000005, -104.845461 31.035567999999998, -104.41399 31.073448999999993, -104.158797 31.060480000000005, -104.06125600000001 31.084750000000003, -103.854142 31.26924600000001, -103.741872 31.339578999999993, -103.55618000000001 31.406314, -103.4978 31.395753000000006, -103.39817100000002 31.419484000000033, -103.331085 31.47412100000001, -102.87652 31.57925, -102.609902 31.730677000000018, -102.425407 31.81680499999999, -102.343584 31.83098699999999, -102.116586 31.962069000000003, -102.073768 31.971726000000032, -102.033653 31.84458500000001, -102.008892 31.832329999999995)"
freeport,pearland,"LINESTRING (-95.359698 28.954035999999974, -95.373713 28.957954000000033, -95.37076000000002 28.970835999999995, -95.386073 29.000937, -95.403064 29.009556999999987, -95.429343 29.01379400000001, -95.45381900000001 29.040565000000015, -95.453143 29.252676, -95.425368 29.30213099999999, -95.426901 29.443582999999997, -95.389796 29.498201, -95.387004 29.55566299999999, -95.299547 29.559687999999994, -95.286387 29.563976000000004)"
brownsville,mcallen,"LINESTRING (-97.498138 25.902401000000015, -97.487477 25.90889200000002, -97.490947 25.927501000000007, -97.503817 25.94335700000003, -97.529473 26.003028000000015, -97.534532 26.031371999999994, -97.563704 26.058078999999996, -97.60253 26.1082, -97.629983 26.121926000000016, -97.717925 26.188427999999995, -97.77545 26.186896999999988, -97.818216 26.16597, -97.904587 26.158803999999996, -97.935287 26.151366999999997, -97.980402 26.172547999999995, -98.014823 26.172917000000005, -98.143363 26.194299, -98.162518 26.204067999999996, -98.187456 26.207567000000008, -98.204107 26.198585000000005, -98.230081 26.204024999999994)"
odessa,sonora,"LINESTRING (-102.367677 31.845699999999972, -102.354867 31.826282, -102.370902 31.782781999999997, -102.32885 31.647345, -102.328229 31.599392999999992, -102.361288 31.487126999999994, -102.362386 31.435606000000003, -102.348278 31.390748999999996, -102.352184 31.299024000000006, -102.308916 31.196500000000004, -102.228813 31.144605, -102.111338 30.965896, -102.070268 30.94014100000002, -102.041913 30.905337999999993, -102.09521 30.867766000000028, -102.008689 30.825369999999978, -101.939619 30.766835000000004, -101.841836 30.73904599999997, -101.797363 30.714255999999995, -101.693813 30.747282000000013, -101.541074 30.725903000000017, -101.508971 30.703447000000004, -101.326833 30.677193000000006, -101.160515 30.71018900000002, -100.951448 30.661551999999993, -100.83489400000002 30.620473999999987, -100.748135 30.616220000000006, -100.66829 30.58764100000001, -100.643031 30.566985999999986)"
fortWorth,texarkana,"LINESTRING (-97.332623 32.75299599999999, -96.845763 32.763805, -96.677885 32.799174999999984, -96.330169 32.970056, -96.258024 32.987895000000016, -96.072674 33.135609, -95.593847 33.116345, -95.56148 33.14457499999999, -95.39001 33.16612300000001, -95.036617 33.158262, -94.915918 33.19985699999999, -94.785791 33.28710799999998, -94.711065 33.29929, -94.525085 33.43970699999998, -94.445407 33.475543999999985, -94.267247 33.47640200000001, -94.077288 33.44683500000002)"
collegeStation,sanAntonio,"LINESTRING (-96.34554 30.61834300000001, -96.381754 30.59122899999999, -96.467878 30.649959000000017, -96.535996 30.638122999999993, -96.552486 30.613913999999998, -96.65844 30.571230999999994, -96.722209 30.519658000000007, -96.795326 30.444099, -96.826337 30.397039999999993, -96.948843 30.307846000000012, -96.962918 30.274178999999997, -96.994176 30.241242999999994, -97.141272 30.214090000000006, -97.174331 30.178768, -97.307957 30.105432999999998, -97.436832 30.109853, -97.491989 30.08735699999998, -97.546829 30.084177, -97.689253 30.027601000000008, -97.672206 29.942208000000004, -97.677923 29.919784999999994, -97.711872 29.89304000000001, -97.707681 29.86395499999999, -97.732471 29.837191000000015, -97.77565100000001 29.804452, -97.793669 29.776846000000013, -97.881253 29.717953000000005, -97.869015 29.68122500000001, -97.886677 29.655422999999992, -97.880262 29.608233000000027, -97.971099 29.598783, -98.045937 29.54922299999998, -98.434958 29.42065800000002, -98.495383 29.424529999999994)"
pasadena,sugarLand,"LINESTRING (-95.209285 29.69106700000001, -95.20955500000001 29.711507000000015, -95.244866 29.706032000000008, -95.267123 29.709380999999997, -95.285283 29.698366, -95.29611500000001 29.695475, -95.31487800000001 29.696795, -95.356207 29.680839000000002, -95.427474 29.67804099999997, -95.44374 29.654767999999994, -95.546545 29.615879999999997, -95.557495 29.61620200000001, -95.588265 29.628623999999988, -95.634985 29.619828999999996)"
killeen,abilene,"LINESTRING (-97.727792 31.117227999999997, -97.857023 31.121130000000008, -97.900358 31.096175000000027, -98.035924 31.07742799999999, -98.06879 31.05598100000002, -98.099342 31.050739999999998, -98.18204 31.063750000000002, -98.187423 31.084558, -98.312563 31.139824, -98.381023 31.194023999999995, -98.486079 31.316122000000007, -98.51131 31.359768000000006, -98.558861 31.40156300000001, -98.57433400000001 31.462619999999994, -98.569401 31.477726000000004, -98.585237 31.512869999999992, -98.664454 31.559492000000002, -98.703109 31.610774000000006, -98.802561 31.68400999999998, -98.945335 31.742469999999976, -99.016965 31.72085199999999, -99.13438 31.716699000000006, -99.159957 31.726095000000004, -99.334469 31.742932000000025, -99.357748 31.777392999999993, -99.41279 31.824170000000006, -99.426703 31.856153000000027, -99.446501 31.86106900000001, -99.481702 31.89128400000001, -99.534404 31.951784000000004, -99.589009 31.996081000000007, -99.65231 32.020347, -99.743068 32.135032999999986, -99.759293 32.22930099999999, -99.75779 32.306629, -99.742264 32.34514599999999, -99.74213300000001 32.38260899999998, -99.757895 32.402167999999996, -99.747886 32.44645199999999)"
pearland,sugarLand,"LINESTRING (-95.286387 29.563976000000004, -95.286325 29.600604, -95.345516 29.600249, -95.358384 29.598248, -95.454564 29.596696999999995, -95.46049 29.598283999999985, -95.509975 29.621280999999996, -95.517741 29.626768000000016, -95.549409 29.61541700000001, -95.557975 29.616348999999992, -95.581167 29.626915000000018, -95.588265 29.628623999999988, -95.634985 29.619828999999996)"
deerPark,pearland,"LINESTRING (-95.123815 29.70522800000001, -95.123964 29.711716000000013, -95.153786 29.712389999999996, -95.153709 29.688012999999998, -95.156276 29.677663, -95.156225 29.650277000000003, -95.15856 29.64243900000002, -95.173786 29.627585, -95.191509 29.616734999999988, -95.210179 29.603245999999995, -95.21701 29.601166999999993, -95.286325 29.600604, -95.286387 29.563976000000004)"
texarkana,dallas,"LINESTRING (-94.077288 33.44683500000002, -94.087418 33.439833999999976, -94.099677 33.45247499999999, -94.26712400000001 33.47660100000001, -94.337157 33.468392, -94.444714 33.47596199999999, -94.52475 33.44033700000001, -94.713201 33.299202000000015, -94.785991 33.28742900000001, -94.88162800000002 33.23204099999999, -94.916209 33.199935999999994, -95.03651 33.15850599999999, -95.390597 33.16626699999999, -95.451789 33.147748000000014, -95.561362 33.144774000000005, -95.595235 33.11642900000001, -95.721293 33.11957699999999, -95.787835 33.131596999999985, -96.072877 33.13578999999999, -96.200666 33.021938, -96.25943600000001 32.987447, -96.330294 32.970159, -96.386615 32.92967600000001, -96.445409 32.91303400000001, -96.67704 32.799641, -96.759976 32.79078700000001, -96.796749 32.775945)"
theWoodlands,sanJacinto,"LINESTRING (-95.504517 30.17364699999998, -95.482052 30.189921000000012, -95.481911 30.204182999999972, -95.45578 30.207294999999995, -95.456727 30.27732399999999, -95.483227 30.347758, -95.48639 30.402149000000005, -95.494886 30.432556, -95.493982 30.534314999999985, -95.483592 30.537605999999997, -95.467695 30.531403999999995, -95.456085 30.535493, -95.386013 30.523048000000003, -95.33283 30.52417000000001, -95.297328 30.543036999999988, -95.238821 30.56112799999999, -95.235021 30.54266300000001, -95.217979 30.52523799999999, -95.20628 30.522521999999995, -95.204414 30.511037000000016, -95.19803300000001 30.513507999999995, -95.19257100000002 30.509218000000004)"
collegeStation,centerville,"LINESTRING (-96.34554 30.61834300000001, -96.32783700000002 30.633935999999995, -96.308596 30.641502999999997, -96.35812800000001 30.697063999999973, -96.316131 30.74244999999999, -96.260731 30.78536400000001, -96.221873 30.825363000000007, -96.203431 30.859285999999997, -96.171034 30.888207, -96.098944 30.918740000000014, -96.08341 30.917578000000006, -96.07388 30.922563, -95.979911 30.91339399999999, -95.911479 30.950134000000006, -95.922762 31.015671999999995, -95.944334 31.044079000000025, -95.975515 31.122491000000007, -95.99632700000001 31.208476000000005, -95.987848 31.25602100000001, -95.97871 31.257822999999995)"
baytown,deerPark,"LINESTRING (-94.97759300000001 29.735551000000005, -94.978437 29.734915000000015, -94.978189 29.733648000000006, -94.979079 29.732608999999993, -94.978397 29.726574, -94.979524 29.720211000000003, -94.985916 29.72159699999999, -94.992093 29.723890000000022, -94.99481 29.720002999999995, -95.000666 29.714121000000013, -95.013978 29.70607800000001, -95.026718 29.695766000000006, -95.029169 29.693067999999997, -95.031322 29.689281999999995, -95.033031 29.688417000000012, -95.037691 29.688105000000004, -95.04058700000002 29.68858399999999, -95.114091 29.711156000000006, -95.124091 29.711719000000013, -95.123815 29.70522800000001)"
texasCity,pearland,"LINESTRING (-94.917544 29.395026000000016, -94.916196 29.393368999999993, -94.990409 29.396343999999992, -95.00727400000001 29.398212999999984, -95.0347 29.406615999999993, -95.06927300000001 29.439493999999993, -95.094612 29.471072000000014, -95.130379 29.52892700000002, -95.136789 29.52500000000001, -95.175057 29.520770000000013, -95.185731 29.51167500000002, -95.189816 29.515066999999995, -95.191456 29.521498999999995, -95.21133 29.537573000000002, -95.232539 29.547644999999974, -95.243641 29.54788400000001, -95.280043 29.56329299999998, -95.286387 29.563976000000004)"
channelview,deerPark,"LINESTRING (-95.114654 29.776139999999984, -95.113913 29.776148000000017, -95.114666 29.777070999999996, -95.12435 29.77697799999999, -95.12438 29.778489999999994, -95.149442 29.772368999999998, -95.151136 29.771411, -95.151737 29.77004000000003, -95.151248 29.768266000000025, -95.148095 29.76469499999998, -95.146302 29.759683000000006, -95.145755 29.739862999999993, -95.147905 29.72178699999999, -95.148792 29.719996999999996, -95.153406 29.714808, -95.153795 29.711621000000008, -95.12408 29.711127000000012, -95.123815 29.70522800000001)"
