consumer,cons_carbonSensitive,cons_h,cons_checs,cons_price,cons_size
abilene_demandSector_transportationFuel_carbonSensitive,1,18.99999999999988,18.99999999999988,5000.0,19.0
amarillo_demandSector_transportationFuel_carbonSensitive,1,30.99999999999988,30.99999999999988,5000.0,31.0
austin_demandSector_transportationFuel_carbonSensitive,1,353.99999999999994,353.99999999999994,5000.0,354.0
baytown_demandSector_existing,0,538.0,0.0,5000.0,538.0
beaumont_demandSector_existing,0,538.0,0.0,5000.0,538.0
brazoria_demandSector_existing,0,538.0,0.0,5000.0,538.0
brownsville_demandSector_transportationFuel_carbonSensitive,1,27.999999999999943,27.999999999999943,5000.0,28.0
channelview_demandSector_existing,0,538.0,0.0,5000.0,538.0
chocolateBay_demandSector_existing,0,538.0,0.0,5000.0,538.0
chocolateBay_demandSector_transportationFuel_carbonSensitive,1,19.999999999999943,19.999999999999943,5000.0,20.0
corpusChristi_demandSector_transportationFuel_carbonSensitive,1,50.99999999999994,50.99999999999994,5000.0,51.0
dallas_demandSector_transportationFuel_carbonSensitive,1,588.9999999999999,588.9999999999999,5000.0,589.0
deerPark_demandSector_existing,0,538.0,0.0,5000.0,538.0
elPaso_demandSector_transportationFuel_carbonSensitive,1,104.9999999999999,104.9999999999999,5000.0,105.0
fortWorth_demandSector_transportationFuel_carbonSensitive,1,588.9999999999999,588.9999999999999,5000.0,589.0
freeport_demandSector_existing,0,538.0,0.0,5000.0,538.0
houston_demandSector_transportationFuel_carbonSensitive,1,358.99999999999994,358.99999999999994,5000.0,359.0
killeen_demandSector_transportationFuel_carbonSensitive,1,22.99999999999987,22.99999999999987,5000.0,23.0
laPorte_demandSector_existing,0,538.0,0.0,5000.0,538.0
laredo_demandSector_transportationFuel_carbonSensitive,1,39.99999999999994,39.99999999999994,5000.0,40.0
lubbock_demandSector_transportationFuel_carbonSensitive,1,39.99999999999994,39.99999999999994,5000.0,40.0
mcallen_demandSector_transportationFuel_carbonSensitive,1,21.999999999999943,21.999999999999943,5000.0,22.0
midland_demandSector_transportationFuel_carbonSensitive,1,21.999999999999883,21.999999999999883,5000.0,22.0
montBelvieu_demandSector_existing,0,538.0,0.0,5000.0,538.0
odessa_demandSector_transportationFuel_carbonSensitive,1,18.99999999999988,18.99999999999988,5000.0,19.0
orange_demandSector_existing,0,538.0,0.0,5000.0,538.0
pasadena_demandSector_existing,0,538.0,0.0,5000.0,538.0
pasadena_demandSector_transportationFuel_carbonSensitive,1,23.99999999999988,23.99999999999988,5000.0,24.0
pearland_demandSector_transportationFuel_carbonSensitive,1,19.999999999999858,19.999999999999858,5000.0,20.0
portArthur_demandSector_existing,0,538.0,0.0,5000.0,538.0
sanAntonio_demandSector_transportationFuel_carbonSensitive,1,396.99999999999994,396.99999999999994,5000.0,397.0
sanJacinto_demandSector_existing,0,538.0,0.0,5000.0,538.0
sugarLand_demandSector_transportationFuel_carbonSensitive,1,17.999999999999858,17.999999999999858,5000.0,18.0
texasCity_demandSector_existing,0,538.0,0.0,5000.0,538.0
waco_demandSector_transportationFuel_carbonSensitive,1,20.999999999999865,20.999999999999865,5000.0,21.0
pearland_priceFuelStation_3.60,0,9.999834669311428e-06,0.0,3600.0,1e-05
chocolateBay_priceFuelStation_1.75,0,9.999951700306685e-06,0.0,1750.0,1e-05
pasadena_priceFuelStation_1.85,0,9.999952168491995e-06,0.0,1850.0,1e-05
houston_priceFuelStation_2.20,0,9.999917944998752e-06,0.0,2200.0,1e-05
elPaso_priceFuelStation_2.80,0,9.999972496628098e-06,0.0,2800.0,1e-05
midland_priceFuelStation_3.30,0,9.999751016517625e-06,0.0,3300.0,1e-05
abilene_priceFuelStation_3.35,0,9.999966974075539e-06,0.0,3350.0,1e-05
waco_priceFuelStation_3.50,0,9.999803550439404e-06,0.0,3500.0,1e-05
corpusChristi_priceFuelStation_1.75,0,9.999970446266085e-06,0.0,1750.0,1e-05
mcallen_priceFuelStation_1.70,0,9.999969991326515e-06,0.0,1700.0,1e-05
laredo_priceFuelStation_1.70,0,9.99989131264826e-06,0.0,1700.0,1e-05
sanAntonio_priceFuelStation_2.20,0,9.998643593162892e-06,0.0,2200.0,1e-05
austin_priceFuelStation_2.20,0,9.999843600366853e-06,0.0,2200.0,1e-05
dallas_priceFuelStation_2.20,0,9.999187828258831e-06,0.0,2200.0,1e-05
amarillo_priceFuelStation_3.35,0,9.999958092321447e-06,0.0,3350.0,1e-05
brownsville_priceFuelStation_1.65,0,9.999053436935275e-06,0.0,1650.0,1e-05
fortWorth_priceFuelStation_2.20,0,9.999799970222923e-06,0.0,2200.0,1e-05
killeen_priceFuelStation_3.45,0,9.999873441696958e-06,0.0,3450.0,1e-05
lubbock_priceFuelStation_1.35,0,9.999959297082073e-06,0.0,1350.0,1e-05
odessa_priceFuelStation_3.35,0,9.999964503442139e-06,0.0,3350.0,1e-05
sugarLand_priceFuelStation_3.60,0,9.999745957505402e-06,0.0,3600.0,1e-05
brazoria_priceLowPurity_1.00,0,9.999999414799156e-06,0.0,1000.0,1e-05
freeport_priceLowPurity_1.00,0,9.999999420622482e-06,0.0,1000.0,1e-05
chocolateBay_priceLowPurity_1.00,0,9.99999949097958e-06,0.0,1000.0,1e-05
texasCity_priceLowPurity_1.00,0,9.999999471257427e-06,0.0,1000.0,1e-05
laPorte_priceLowPurity_1.00,0,9.999999461968659e-06,0.0,1000.0,1e-05
deerPark_priceLowPurity_1.00,0,9.99999945725659e-06,0.0,1000.0,1e-05
pasadena_priceLowPurity_1.00,0,9.999999456562381e-06,0.0,1000.0,1e-05
channelview_priceLowPurity_1.00,0,9.999999459666171e-06,0.0,1000.0,1e-05
baytown_priceLowPurity_1.00,0,9.999999461150596e-06,0.0,1000.0,1e-05
sanJacinto_priceLowPurity_1.00,0,9.999999451574111e-06,0.0,1000.0,1e-05
montBelvieu_priceLowPurity_1.00,0,9.999999457141139e-06,0.0,1000.0,1e-05
portArthur_priceLowPurity_1.00,0,9.999999470730928e-06,0.0,1000.0,1e-05
beaumont_priceLowPurity_1.00,0,9.99999946562506e-06,0.0,1000.0,1e-05
orange_priceLowPurity_1.00,0,9.999999465231226e-06,0.0,1000.0,1e-05
